cik_str,Scandal Year,Ticker,Company Name,Anomaly Ticker,Detail
72971,2016,WFC-PY,WELLS FARGO & COMPANY/MN,WFC,Consumer Fraud
72971,2016,WFC-PR,WELLS FARGO & COMPANY/MN,WFC,Consumer Fraud
72971,2016,WFC-PL,WELLS FARGO & COMPANY/MN,WFC,Consumer Fraud
72971,2016,WFC-PC,WELLS FARGO & COMPANY/MN,WFC,Consumer Fraud
72971,2016,WFC-PD,WELLS FARGO & COMPANY/MN,WFC,Consumer Fraud
72971,2016,WFC-PZ,WELLS FARGO & COMPANY/MN,WFC,Consumer Fraud
72971,2016,WFCNP,WELLS FARGO & COMPANY/MN,WFC,Consumer Fraud
72971,2016,WFC-PA,WELLS FARGO & COMPANY/MN,WFC,Consumer Fraud
1159508,2008,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,FCPA and Commodities Fraud
1159508,2009,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,FCPA and Commodities Fraud
1159508,2010,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,FCPA and Commodities Fraud
1159508,2011,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,FCPA and Commodities Fraud
1159508,2012,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,FCPA and Commodities Fraud
1159508,2013,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,FCPA and Commodities Fraud
1159508,2014,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,FCPA and Commodities Fraud
1159508,2015,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,FCPA and Commodities Fraud
1159508,2016,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,FCPA and Commodities Fraud
1159508,2015,AGATF,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,Wire Fraud
1159508,2015,DEENF,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,Wire Fraud
1159508,2015,ADZCF,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,Wire Fraud
1159508,2015,OLOXF,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,Wire Fraud
1159508,2015,DGP,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,Wire Fraud
1159508,2015,DGZ,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,Wire Fraud
1159508,2015,DZZ,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,Wire Fraud
1114446,2000,AMNA,UBS AG,UBS,Fraudulent Bidding Practices
1114446,2001,AMNA,UBS AG,UBS,Fraudulent Bidding Practices
1114446,2002,AMNA,UBS AG,UBS,Fraudulent Bidding Practices
1114446,2003,AMNA,UBS AG,UBS,Fraudulent Bidding Practices
1114446,2004,AMNA,UBS AG,UBS,Fraudulent Bidding Practices
1114446,2011,AMNA,UBS AG,UBS,Unauthorized Trading
1114446,2011,AMND,UBS AG,UBS,Tax Evasion
1114446,2011,AMTR,UBS AG,UBS,Tax Evasion
1114446,2011,AMUB,UBS AG,UBS,Tax Evasion
1114446,2011,USML,UBS AG,UBS,Tax Evasion
1114446,2011,WUCT,UBS AG,UBS,Tax Evasion
1114446,2011,UCIB,UBS AG,UBS,Tax Evasion
1114446,2011,PFFL,UBS AG,UBS,Tax Evasion
1114446,2011,QULL,UBS AG,UBS,Tax Evasion
1114446,2011,SCDL,UBS AG,UBS,Tax Evasion
1114446,2011,SMHB,UBS AG,UBS,Tax Evasion
1114446,2011,MLPR,UBS AG,UBS,Tax Evasion
1114446,2011,MTUL,UBS AG,UBS,Tax Evasion
1114446,2011,MVRL,UBS AG,UBS,Tax Evasion
1114446,2011,IWML,UBS AG,UBS,Tax Evasion
1114446,2011,MLPB,UBS AG,UBS,Tax Evasion
1114446,2011,HDLB,UBS AG,UBS,Tax Evasion
1114446,2011,IFED,UBS AG,UBS,Tax Evasion
1114446,2011,IWDL,UBS AG,UBS,Tax Evasion
1114446,2011,IWFL,UBS AG,UBS,Tax Evasion
1114446,2011,ESUS,UBS AG,UBS,Tax Evasion
1114446,2011,FBGX,UBS AG,UBS,Tax Evasion
1114446,2011,FEDL,UBS AG,UBS,Tax Evasion
1114446,2011,BDCX,UBS AG,UBS,Tax Evasion
1114446,2011,BDCZ,UBS AG,UBS,Tax Evasion
1114446,2011,CEFD,UBS AG,UBS,Tax Evasion
1114446,2011,DJCB,UBS AG,UBS,Tax Evasion
14272,2001,BMY,BRISTOL MYERS SQUIBB CO,BMY,Accounting Fraud (Financial Misrepresentation)
14272,2002,BMY,BRISTOL MYERS SQUIBB CO,BMY,Accounting Fraud (Financial Misrepresentation)
14272,2002,BMYMP,BRISTOL MYERS SQUIBB CO,BMY,Financial Misrepresentation
14272,2002,CELG-RI,BRISTOL MYERS SQUIBB CO,BMY,Financial Misrepresentation
831001,2007,C,CITIGROUP INC,C,Security Fraud
831001,2008,C,CITIGROUP INC,C,Security Fraud
831001,2008,C-PJ,CITIGROUP INC,C,Security Fraud
831001,2008,C-PN,CITIGROUP INC,C,Security Fraud
19617,2005,JPM,JPMORGAN CHASE & CO,JPM,Security Fraud
19617,2006,JPM,JPMORGAN CHASE & CO,JPM,Security Fraud
19617,2007,JPM,JPMORGAN CHASE & CO,JPM,Security Fraud
19617,2008,JPM,JPMORGAN CHASE & CO,JPM,Security Fraud
19617,2009,JPM,JPMORGAN CHASE & CO,JPM,Security Fraud
19617,2010,JPM,JPMORGAN CHASE & CO,JPM,Security Fraud
19617,2012,JPM-PC,JPMORGAN CHASE & CO,JPM,Trading Fraud
19617,2012,JPM-PD,JPMORGAN CHASE & CO,JPM,Trading Fraud
19617,2012,JPM-PJ,JPMORGAN CHASE & CO,JPM,Trading Fraud
19617,2012,JPM-PK,JPMORGAN CHASE & CO,JPM,Trading Fraud
19617,2012,JPM-PL,JPMORGAN CHASE & CO,JPM,Trading Fraud
19617,2012,JPM-PM,JPMORGAN CHASE & CO,JPM,Trading Fraud
19617,2012,AMJ,JPMORGAN CHASE & CO,JPM,Trading Fraud
1131399,2002,GSK,GSK plc,GSK,Health Care Fraud
1131399,2003,GSK,GSK plc,GSK,Health Care Fraud
1131399,2004,GSK,GSK plc,GSK,Health Care Fraud
1131399,2005,GSK,GSK plc,GSK,Health Care Fraud
1131399,2006,GSK,GSK plc,GSK,Health Care Fraud
1131399,2007,GSK,GSK plc,GSK,Health Care Fraud
1131399,2007,GLAXF,GSK plc,GSK,Health Care Fraud
312070,2012,ATMP,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2021,ATMP,BARCLAYS BANK PLC,BARC,Securities Over-Issuances (Unauthorized Offerings)
312070,2022,ATMP,BARCLAYS BANK PLC,BARC,Securities Over-Issuances (Unauthorized Offerings)
312070,2012,AYTEF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,BALTF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,BWVTF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,COWTF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,VXX,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,VXZ,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,PGMFF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,SGGFF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,JJTFF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,JJUFF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,PGDDF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,JJGTF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,JJMTF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
