cluster_6,cluster_10,cluster_15,cluster_14,cluster_4,cluster_2,cluster_17,cluster_8,cluster_12,cluster_3,cluster_9,cluster_5,cluster_1,cluster_13,cluster_0,cluster_11,cluster_7,cluster_16,anomaly
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6457635232025699,0.0,0.0,0.0,-0.35398123203935483,0.0,0.0,0.0,0.0,0
0.0,-0.03898544671295362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.8642155191447599,2.077103385520477,0.0,0.7798075632031795,0.0,1.722097436735687,2.0113908640441407,0.0,0.4132103099208552,1.203153751113094,0.466155078351691,-0.4176371908791149,0.0,-1.0400000569920031e-08,-0.09257135909098999,2.939826040047602,0.0,1.279213427559216,1
0.8642155191447599,2.077103385520477,0.0,0.7798075632031795,0.0,1.722097436735687,2.0113908640441407,0.0,0.4132103099208552,1.203153751113094,0.466155078351691,-0.4176371908791149,0.0,-1.0400000569920031e-08,-0.09257135909098999,2.939826040047602,0.0,1.279213427559216,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17488487706875902,0.0,0.0,0.0,0.0,-0.09257135909098999,0.0,0.0,0.0,1
-0.14404144356487705,4.0372061175777585,0.0,0.059127932158092054,0.0,0.9578084645037371,2.7180328721314386,0.0,0.8730841636387996,2.126045944780143,0.0,0.0,0.0,-0.28246940674110665,0.0,,0.6497051763866445,3.2999857093853637,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28246940674110665,0.0,0.0,0.0,0.0,0
0.0,0.6462113170149701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0034387609438595273,,0.0,-0.14645442460192415,0.0,-0.5605845378602028,,0.0,-0.2970143469719663,,0.0,0.0,0.0,-0.3588373659259348,0.0,-0.8390456611052959,0.00822796205289108,,0
0.0,0.0,0.0,-0.15302741134702105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5766133643039937,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11888678098381146,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2135422553420867,0.0,0.0,0.0,-0.269128664556033,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33026680205595477,0.0,0.0,0.0,0.0,0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003623927660699488,0.0,0.0,0.0,0.0,0
0.7686257646438749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,-0.2873471752986024,0.0,0.0,0.0,0.0,0.0,0.27115280408907044,-0.20098098634457587,0.0,0.0,-0.32981423740353616,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,-0.2873471752986024,0.0,0.0,0.0,0.0,0.0,0.27115280408907044,-0.20098098634457587,0.0,0.0,-0.32981423740353616,0.0,0.0,0.0,0.0,0
0.9990393771091287,3.7067482508325558,0.5096308804936479,1.4442191856272233,0.0,2.8634397905152174,2.2563648101610085,0.0,0.37305645817311006,,-0.07387973981220851,0.0,1.2050676664044933,0.1440815810704308,0.0,,2.434508944215975,2.6481066461505267,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5598922908635314,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,-0.3207805439820698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35074485175885856,0.0,0.0,0.0,0.0,0
0.0130450657055983,1.4720237701872583,0.0,0.0,0.0,0.23395216251287715,1.4436769594232222,0.0,0.9676707836784358,0.7445496950028928,0.0,0.2200358776708842,1.0271654713877558,0.637698829638082,0.0,,0.0,1.478545082073214,0
,2.117257241454826,0.0,1.1345311879131834,0.0,0.7740099822389083,1.807887686571514,0.0,-0.1804662839860112,0.35938915797296916,0.0,-0.07732503408337726,0.0,-0.08031600801357301,0.0,-2.3202600555767363,0.0,0.9421911242770424,0
-0.00499383354872555,,0.0,-0.15225742942558396,0.0,-0.551572892215064,,0.0,-0.3148009180870544,,0.0,-0.18288280560156914,0.0,-0.35917325589468,0.0,-0.7213853745178195,0.006691845289572114,,0
0.0,0.0,0.0,-0.1255753380669876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5373926511507123,0.0,0.0,0.0,0.0,0
0.38247430377948344,0.6055142826002142,0.0,-0.19312298882216183,0.0,0.15483642471563125,0.8287371277743145,0.0,1.0627743288358034,,0.0,-0.04922099398752435,0.0,0.14364614982412421,0.0,,0.005437570533662841,,0
0.008632715002614472,0.4676579940185128,0.0,2.623409610240756,0.0,-0.1294477726771459,-0.3633793995525644,0.0,-1.3129302409652228,,0.0,-0.18102265934504275,2.6885922593657643,-0.30781449450057885,0.0,-0.1461995727203533,0.15474234149566224,2.800574852211812,0
-0.41093789439167455,-0.4551035908809981,0.0,-0.3394715843655223,0.0,-0.0705109138083768,,0.0,,1.5150662616976198,0.0,0.0,0.0,-0.1114483017044624,0.0,1.833452386412432,0.9279275229275804,1.792965863138093,0
,2.342824250564299,0.0,2.1288755441029883,0.0,0.506969101421756,3.7770871891802824,0.0,,-0.8404415817540375,0.05450695823975026,1.4866354170375433,0.0,1.7378951062880694,0.41881859271242894,,-0.7971336501811238,3.042409861005091,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4111957828171493,0.0,0.0,0.0,-0.269128664556033,0.0,0.0,0.0,0.0,1
