Assets,EarningsPerShareBasic,NetIncomeLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,anomaly
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.3883799658477072,0.0,0.0,0.0,1
0.0,0.3883799658477072,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,-0.048428477960019846,-0.023756499863290485,0.0,-0.804031357463615,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-1.5755100774383166,-1.1923993771958312,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,-1.4346107642285266,0
0.0,0.0,0.0,0.0,-1.4346107642285266,0
0.0,-0.8474604632462995,0.181493354630808,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,-1.4930594341978423,0
0.0,1.0528889697598038,0.044210539932999636,0.0,0.0,0
0.0,-1.0682285627231283,0.021893540303706344,0.0,0.0,0
0.0,-1.0423444007976688,-1.1862563099921217,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-0.32773481224949547,0.0,0.0,0.0,0
0.0,-1.4536057646462075,-1.078207783634524,0.0,0.0,0
0.0,-0.8321178527215615,-0.8235530007407756,0.0,0.0,0
0.0,-0.44142604804129965,0.5333072287193998,0.0,1.5106841786359677,1
0.0,0.0,0.0,0.0,0.0,1
0.0,-0.8707178309829579,-0.7219929905723437,0.0,0.0,0
0.0,-0.5825288508743304,1.1896089981766587,0.0,0.0,0
0.0,-0.3926940986713278,0.30537717540805426,0.0,1.2277604436698861,1
0.0,1.3128121545220481,0.8298811946781043,0.0,0.0,0
0.0,-0.6366562205843721,-0.5264957179514822,0.0,0.0,0
0.0,-0.8551801851619656,-1.1692858893840041,0.0,0.0,0
0.0,-0.44760963445391616,0.16914623064921874,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,1
0.0,0.1044460310031569,0.5361233421277704,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-0.6504414844349765,0.5361233421277704,0.0,0.0,0
0.0,0.36467146053557853,0.0,0.0,0.0,0
-0.9680151020276434,-0.04345308294506164,0.0,-0.747007221917916,0.0,1
0.0,-0.45381414673090475,-0.3621587458189737,0.0,0.0,0
0.0,-1.6816546469573788,0.0,0.0,0.0,0
0.0,0.5498713695247646,0.24765227190293376,0.0,0.0,0
0.0,-0.1456205658058125,-0.8251293476630787,0.0,0.0,0
-0.7950504917088189,1.3128121545220481,0.8678161890154118,-0.6194505013659903,-0.10998627153217022,0
-1.0272608871942266,1.3128121545220481,0.2661210414648324,-0.5673665219191476,-0.6578637297370441,0
-1.0042438540842513,0.0,0.0,-0.6194505013659903,-0.6970658065574233,0
0.0,-0.7209667720924631,0.4052758836211246,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-0.8093420159987752,-1.1831149418513576,0.0,0.0,0
-1.1104314575390106,-0.2818966310525414,-0.27208774674322134,-0.7534105677348919,-0.7963971726746968,0
-1.1104314575390106,-0.2818966310525414,-0.27208774674322134,-0.7534105677348919,-0.7963971726746968,0
-1.111575687348431,0.0,0.0,-0.7534105677348919,0.0,0
-1.2728310416923145,-1.432286565067814,-1.0737002578205979,-1.1709831936325217,-1.4019461974978857,0
-1.2728310416923145,0.0,0.0,-1.1709831936325217,-1.4019461974978857,0
0.0,-0.699522885647742,-0.7868217026277794,0.0,0.0,0
0.0,-0.7281708339201105,0.39154425844924556,0.0,1.4960019930654893,1
0.0,0.0,0.0,0.0,0.0,1
0.0,-2.2310862421968904,-1.2392484658461664,0.0,0.0,1
0.0,-0.5758739197396332,-0.5750084990506926,0.0,0.0,0
0.0,-0.36288154442405773,1.2042296523154428,0.0,0.0,0
0.0,-0.36288154442405773,1.2042296523154428,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,1
0.0,-0.6161707396343051,0.15686166990133696,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.14381275971390772,0.0,0.0,0
0.0,0.09985671187308899,-0.08563224941105618,0.0,0.0,0
0.0,-0.6713156921367125,-1.1636833715980563,0.0,0.0,0
0.0,0.0,-1.1615783689737178,0.0,0.0,0
0.0,-0.18276806804723625,0.39884598948909145,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-1.497002594375435,-0.49778977432459637,0.0,0.0,0
0.0,-1.497002594375435,-0.49778977432459637,0.0,0.0,0
0.0,-1.497002594375435,-0.49778977432459637,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1
-0.6257336501309313,0.380511146042944,0.5711387852287781,-0.2135092675356711,0.0,0
-0.6257336501309313,0.380511146042944,0.5711387852287781,-0.2135092675356711,0.0,0
0.0,0.0,0.0,0.0,0.0,0
-0.6257336501309313,0.0,0.0,-0.2135092675356711,0.0,0
-0.956034230625759,0.039126022880272227,0.0,-0.7423089476399597,0.0,1
0.0,-0.345223959705715,-0.29188977896813917,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-1.1572475488252731,0.0,0.0,0.0,0
0.0,0.029601679427307376,-0.48414227186600045,0.0,0.0,0
0.0,0.029601679427307376,-0.48414227186600045,0.0,0.0,0
0.0,-2.2310862421968904,0.0,0.0,-1.5163063630532083,0
0.0,0.0,0.0,0.0,0.0,0
-0.9348811187982814,-0.9668148207222355,0.13399322517230838,-0.16340032741035557,-0.19666168078227744,0
-0.9348811187982814,0.0,0.0,-0.16340032741035557,-0.19666168078227744,0
-1.0284782293072552,0.34467745449562215,0.10873630492836824,-0.038747160099074404,-0.9976944374815356,0
-1.0284782293072552,0.0,0.0,-0.038747160099074404,-0.9976944374815356,0
-1.0284782293072552,0.34467745449562215,0.10873630492836824,0.0,0.0,0
-1.2647424322136211,0.6410359223591384,-0.8499361650753933,-1.2948164664449509,-1.5280948799346206,0
-1.2647424322136211,0.0,0.0,-1.2948164664449509,-1.5280948799346206,0
0.0,0.0,0.0,0.0,0.0,0
-1.3183686585172922,-0.6783269107184875,-1.1811048757568452,-1.305201653415713,-1.5161570839110234,0
0.0,0.0,0.0,0.0,0.0,0
-1.3183686585172922,0.0,0.0,-1.305201653415713,-1.5161570839110234,0
0.0,-1.6816546469573788,0.0,0.0,0.0,0
0.0,-1.6816546469573788,-1.0642448202778394,0.0,0.0,0
0.0,0.0,0.0,0.0,-1.5092260086620046,0
0.0,-1.833473475085656,-1.17015881672736,0.0,0.0,0
0.0,0.0,0.0,0.0,-1.5110509314983853,0
0.0,-1.0595598420483248,0.0,0.0,-1.5001049462307183,0
0.0,0.0,0.0,0.0,0.0,0
-1.2481003505373975,-0.5364437648778186,-0.9558640398647138,-1.3592117177434253,-1.393485902442552,0
-1.2481003505373975,0.0,0.0,-1.3592117177434253,-1.393485902442552,0
1.1194215485025436,-1.3192662700063964,-0.09726651380184238,0.9083015488962559,1.6333756060948668,1
1.1194215485025436,0.0,0.0,0.9083015488962559,1.6333756060948668,1
0.0,0.0,0.0,0.0,1.6333756060948668,1
1.1376076733385267,-2.2310862421968904,-1.2392484658461664,1.109675279661187,1.3135829432679005,1
1.1376076733385267,0.0,0.0,1.109675279661187,1.3135829432679005,1
-1.1838748045733611,-0.6366562205843721,-0.6087937874002406,-0.9791866600767816,-1.0397861358639755,0
-1.1838748045733611,0.0,0.0,-0.9791866600767816,-1.0397861358639755,0
0.5350235912684824,-0.41081712929186315,1.2042296523154428,1.5238077502029361,0.9026658651133964,0
0.5350235912684824,0.0,0.0,1.5238077502029361,0.9026658651133964,0
0.5350235912684824,0.0,0.0,1.5238077502029361,0.9026658651133964,0
0.5350235912684824,-0.41081712929186315,1.2042296523154428,1.5238077502029361,0.9026658651133964,0
0.0,0.0,0.0,0.0,0.0,0
1.1376076733385267,-0.6504414844349765,0.185371528911771,0.5373214325283933,1.5474051361593066,1
1.1376076733385267,0.0,0.0,0.5373214325283933,1.5474051361593066,1
0.0,-0.6504414844349765,0.185371528911771,0.0,0.0,1
-0.8253109280667636,0.0,0.0010660400018858702,-0.6389199109819962,-0.9634713926219121,0
-0.8253109280667636,0.0,0.0,-0.6389199109819962,-0.9634713926219121,0
-0.8253109280667636,0.0,0.0,-0.6389199109819962,-0.9634713926219121,0
0.0,0.0,0.0,0.0,0.0,0
-1.1708626153971968,-2.2310862421968904,-1.2392484658461664,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
-0.8613674213094868,-0.29324918596972943,-0.33365699307157876,-0.6362140664105181,-0.6579249238771263,0
-0.8613674213094868,0.0,0.0,-0.6362140664105181,-0.6579249238771263,0
0.0,0.0,0.0,0.0,0.0,0
-0.8613674213094868,-0.29324918596972943,-0.33365699307157876,-0.6362140664105181,-0.6579249238771263,0
-1.3183686585172922,-0.6435358964163825,-1.162751441857821,-1.3067600185672983,-1.5053341849776023,0
-1.3183686585172922,0.0,0.0,-1.3067600185672983,-1.5053341849776023,0
0.0,0.0,0.0,0.0,-1.532717264235093,0
0.0,0.0,0.0,0.0,-1.532717264235093,0
0.0,0.0,-1.237588851721544,0.0,0.0,0
0.883454205298563,-1.166391861483275,-0.3867218295214768,0.1261204366663329,0.8312901309456084,0
0.883454205298563,0.0,0.0,0.1261204366663329,0.8312901309456084,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-1.621928512894562,-0.6860178926458523,0.0,0.0,0
0.0,-1.0,0.12007001894011096,0.0,0.0,0
0.0,-1.621928512894562,-0.6860178926458523,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-1.103319222019155,-0.5880249100805754,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
-0.974612624211881,0.18075654378515987,0.0,-0.7213689904265483,-0.9424982921893136,0
-0.974612624211881,0.18075654378515987,0.0,-0.7213689904265483,0.0,0
-0.974612624211881,0.0,0.0,-0.7213689904265483,0.0,0
-0.9937064185542701,-0.6573731805740227,-0.4828848402181506,-0.6931831246791293,-0.8019369373546866,0
-0.9937064185542701,0.0,0.0,-0.6931831246791293,-0.8019369373546866,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-0.9101479787213642,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-1.139094619299128,-0.796075650087637,0.0,0.0,0
0.0,-1.390377756373441,-1.110410266711981,0.0,0.0,0
0.0,-1.390377756373441,-1.110410266711981,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-0.3510909461944024,-0.6530160906088975,0.0,0.0,0
0.0,1.2496090357385288,0.16751407453264347,0.0,0.0,0
0.0,-1.807281174041158,-0.961378179427762,0.0,0.0,0
-1.3183686585172922,-1.2128103117479765,-1.188695921725411,-1.3041040100863868,-1.515211562682556,0
0.0,-2.2294485207261303,0.0,0.0,0.0,0
0.0,-2.1809850174678544,-1.2392484658461664,0.0,0.0,0
0.0,-1.7559930756014719,-1.150461064072118,0.0,0.0,0
0.0,-1.4536057646462075,-1.1261182845614364,0.0,0.0,0
0.0,-1.4536057646462075,-0.8849720814173748,0.0,0.0,0
0.0,-1.4217192128817941,-0.05144730511877612,0.0,1.6939937980543964,0
0.0,-2.2294485207261303,-0.6606333286908112,0.0,0.0,0
0.0,-2.2294485207261303,-0.6606333286908112,0.0,0.0,0
0.0,-1.5985723976945447,-1.058300523000521,0.0,0.0,0
0.0,-1.5985723976945447,-1.058300523000521,0.0,0.0,0
0.0,-1.621928512894562,-0.34623246183346545,0.0,0.0,1
0.0,-1.621928512894562,-0.34623246183346545,0.0,0.0,1
0.0,-1.4643590534298045,-0.5130999900148584,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,-1.2392484658461664,0.0,0.0,0
0.0,0.0,-1.209898056109192,0.0,0.0,0
0.0,-1.411212418832919,-0.9507127842333232,0.0,0.0,0
0.0,-1.4860567085305287,-1.18688087896387,0.0,0.0,0
0.0,0.0,-1.2392484658461664,0.0,0.0,0
0.0,-1.299445204588643,-0.2974367834535042,0.0,0.0,0
0.0,-1.6575302179511406,-0.7315700800865488,0.0,0.0,0
0.0,-0.8397731091982461,0.3086524055056794,0.0,0.0,0
0.0,-1.6575302179511406,-0.7315700800865488,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-0.13514378374556976,0.1349946862494427,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
-1.2492234248649852,0.28335293644655146,-1.092243645555785,0.0,-1.2908646191285298,0
0.0,0.0,0.0,0.0,0.0,0
-1.2492234248649852,0.28335293644655146,-1.092243645555785,0.0,-1.2908646191285298,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-1.1755820104285166,0.0,0.0,0.0,0
-0.9739336204571196,-1.1755820104285166,0.0,-0.7049212547713466,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-1.564086798658906,-1.0016157566523314,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
