end_date,year,ticker,form,Assets,EarningsPerShareBasic,EarningsPerShareDiluted,LiabilitiesAndStockholdersEquity,NetIncomeLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,anomaly
2008-12-27,2008,AAPL,10-Q,,0.523809523809524,0.540983606557377,,0.269398414094983,,,0
2008-12-27,2008,AMD,10-K,,-2.527777777777778,-2.5942622950819674,,,,-0.28400212352503434,0
2008-12-27,2008,AMD,10-Q,,,,,,,,0
2008-12-27,2008,INTC,10-K,0.057716684463994826,-0.11507936507936507,-0.10655737704918038,0.05780277695918271,0.9126589563733097,0.5563788916903701,0.5231413304932302,0
2008-12-27,2008,INTC,10-Q,0.057716684463994826,,,0.05780277695918271,,0.5563788916903701,0.5231413304932302,0
2008-12-27,2008,PEP,10-K,-0.06576819179870905,0.8095238095238096,0.8319672131147541,-0.06586629424150404,0.8808877134399745,0.6742723418723587,-0.03673394445594172,0
2008-12-27,2008,PEP,10-Q,-0.06576819179870905,,,-0.06586629424150404,,0.6742723418723587,-0.03673394445594172,0
2008-12-27,2008,PEP,8-K,-0.06576819179870905,0.8095238095238096,0.8319672131147541,,0.8808877134399745,,,0
2008-12-27,2008,YUM,10-K,-0.3170963344173784,1.1269841269841272,1.1229508196721312,-0.3175693278836257,-0.004045536530020201,-0.19778272061743032,-0.2888139835847592,0
2008-12-27,2008,YUM,10-Q,-0.3170963344173784,,,-0.3175693278836257,,-0.19778272061743032,-0.2888139835847592,0
2008-12-28,2008,DPZ,10-K,,,,,,,,0
2008-12-28,2008,PZZA,10-K,-0.36946978615153875,0.035714285714285754,0.04918032786885241,-0.37002090193515874,-0.20043463397022582,-0.20264797431219989,-0.28394098218827546,0
2008-12-28,2008,PZZA,10-K/A,,,,,,,,0
2008-12-28,2008,PZZA,10-Q,-0.36946978615153875,,,-0.37002090193515874,,-0.20264797431219989,-0.28394098218827546,0
2008-12-28,2008,QCOM,10-K,,-0.40079365079365087,-0.4016393442622952,,,,,0
2008-12-28,2008,QCOM,10-Q,,-0.40079365079365087,-0.4016393442622952,,-0.13600183493387533,,,0
2008-12-28,2008,RRGB,10-K,,,,,,,-0.2810964152809687,0
2008-12-28,2008,SBUX,10-Q,,-0.44841269841269843,-0.4467213114754099,,-0.1946090705170964,,,0
2008-12-30,2008,BJRI,10-K,,,,,,,-0.2818464718510384,0
2008-12-30,2008,CAKE,10-K,,-0.15873015873015878,-0.14754098360655746,,,,-0.2773358336167724,0
2008-12-30,2008,CAKE,10-Q,,,,,,,,0
2008-12-31,2008,AMZN,10-K,-0.30185476279965134,0.11904761904761908,0.1270491803278688,-0.3023050213332992,-0.07161224470149659,-0.2274788761985067,-0.2318907028782274,0
2008-12-31,2008,AMZN,10-Q,-0.30185476279965134,,,-0.3023050213332992,,-0.2274788761985067,-0.2318907028782274,0
2008-12-31,2008,BAC,10-K,15.132722744204115,-0.2698412698412699,-0.2622950819672132,15.155295313507672,0.6406975972441933,1.915732631096738,3.338714221440121,1
2008-12-31,2008,BAC,10-Q,15.132722744204115,,,15.155295313507672,,1.915732631096738,3.338714221440121,1
2008-12-31,2008,BAC,8-K,,,,,,,3.338714221440121,1
2008-12-31,2008,C,10-K,16.16071429561418,-2.7182539682539684,-2.7909836065573774,16.1848202578788,-6.071917184481292,2.2807682395851288,2.6134133404376865,1
2008-12-31,2008,C,10-Q,16.16071429561418,,,16.1848202578788,,2.2807682395851288,2.6134133404376865,1
2008-12-31,2008,EBAY,10-K,-0.23977594395031873,0.05952380952380959,0.07377049180327866,-0.24013360325615762,0.16867826842116015,-0.03487012855443759,-0.05964949633236955,0
2008-12-31,2008,EBAY,10-Q,-0.23977594395031873,,,-0.24013360325615762,,-0.03487012855443759,-0.05964949633236955,0
2008-12-31,2008,GE,10-K,6.431516765724515,0.19841269841269846,0.221311475409836,6.441110271161394,3.4793465718966274,6.816748201512815,1.8565179910431013,0
2008-12-31,2008,GE,10-Q,6.431516765724515,,,6.441110271161394,,3.304236323803407,1.8565179910431013,0
2008-12-31,2008,GE,10-Q/A,6.431516765724515,,,6.441110271161394,,3.304236323803407,1.8565179910431013,0
2008-12-31,2008,GE,8-K,6.431516765724515,0.19841269841269846,0.221311475409836,6.441110271161394,3.4793465718966274,3.304236323803407,1.8565179910431013,0
2008-12-31,2008,GRPN,10-K,,,,,,,,0
2008-12-31,2008,JPM,10-K,18.178555088263924,0.05158730158730164,0.06967213114754095,18.205670941868362,0.9789547538267882,1.3462448846677706,3.130514250855943,1
2008-12-31,2008,JPM,10-Q,18.178555088263924,,,18.205670941868362,,1.3462448846677706,3.130514250855943,1
2008-12-31,2008,JPM,8-K,,0.05158730158730164,0.06967213114754095,,0.9789547538267882,,,1
2008-12-31,2008,L,10-K,0.22316492522542108,,,0.22349780687705273,0.751261301524791,0.17800444855568728,-0.01769126421958397,0
2008-12-31,2008,L,10-Q,0.22316492522542108,,,0.22349780687705273,,0.17800444855568728,-0.01769126421958397,0
2008-12-31,2008,L,10-Q/A,0.22316492522542108,,,0.22349780687705273,,0.17800444855568728,-0.01769126421958397,0
2008-12-31,2008,LVS,10-K,,,,,,,,0
