end_date,year,ticker,form,Assets,EarningsPerShareBasic,EarningsPerShareDiluted,LiabilitiesAndStockholdersEquity,NetIncomeLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,anomaly
2008-11-30,2008,ORCL,10-Q,,-0.2822617637586616,-0.2820466792767089,,,,,0
2008-12-27,2008,AAPL,10-K,,0.009815868904325818,0.012197693865507458,,-0.220836490367449,,,0
2008-12-27,2008,AAPL,10-Q,,0.009815868904325818,0.012197693865507458,,-0.220836490367449,,,0
2008-12-27,2008,AMD,10-K,,-1.2175486093352224,-1.2453271410718976,,,,-0.5874945042242584,0
2008-12-27,2008,AMD,10-Q,,,,,,,,0
2008-12-27,2008,INTC,10-K,-0.3549063546044581,-0.24714860573360295,-0.2475263896901919,-0.36597777640466966,0.07472730386296438,-0.09803016812683948,-0.10778315282329963,0
2008-12-27,2008,INTC,10-Q,-0.3549063546044581,,,-0.36597777640466966,,-0.09803016812683948,-0.10778315282329963,0
2008-12-27,2008,PEP,10-K,-0.3717799231121674,0.12473165880451753,0.12890914913420778,-0.38512257992218973,0.060129130196764774,-0.024101586878150356,-0.4405350613282443,0
2008-12-27,2008,PEP,10-Q,-0.3717799231121674,,,-0.38512257992218973,,-0.024101586878150356,-0.4405350613282443,0
2008-12-27,2008,PEP,8-K,-0.3717799231121674,0.12473165880451753,0.12890914913420778,,0.060129130196764774,,,0
2008-12-27,2008,YUM,10-K,-0.4061226115509484,0.2524158698047306,0.24562060440290812,-0.4240879014618198,-0.3464778537718134,-0.5709495537591514,-0.5903543476393431,0
2008-12-27,2008,YUM,10-Q,-0.4061226115509484,,,-0.4240879014618198,,-0.5709495537591514,-0.5903543476393431,0
2008-12-28,2008,DPZ,10-K,,,,,,,,0
2008-12-28,2008,PZZA,10-K,-0.4132791723587797,-0.18649860550850175,-0.18506110377173254,-0.4322077577011515,-0.43671424007234033,-0.5740004552512531,-0.5874581659585671,0
2008-12-28,2008,PZZA,10-K/A,,,,,,,,0
2008-12-28,2008,PZZA,10-Q,-0.4132791723587797,,,-0.4322077577011515,,-0.5740004552512531,-0.5874581659585671,0
2008-12-28,2008,QCOM,10-K,,-0.3620643956337947,-0.3658816682725359,,,,,0
2008-12-28,2008,QCOM,10-Q,,-0.3620643956337947,-0.3658816682725359,,-0.407108813803509,,,0
2008-12-28,2008,RRGB,10-K,,,,,,,-0.5857675482270335,0
2008-12-28,2008,SBUX,10-Q,,-0.3812170272838267,-0.38396372472261625,,-0.43403752430233755,,,0
2008-12-30,2008,BJRI,10-K,,,,,,,-0.5862133310046352,0
2008-12-30,2008,CAKE,10-K,,-0.2647051847461323,-0.2639646228266286,,,,-0.5835325134222484,0
2008-12-30,2008,CAKE,10-Q,,,,,,,,0
2008-12-31,2008,AMZN,10-K,-0.40403992976318237,-0.15298150012094583,-0.15382846081250287,-0.4217248842021286,-0.37752324101115675,-0.5895714080458853,-0.5565230085162131,0
2008-12-31,2008,AMZN,10-Q,-0.40403992976318237,,,-0.4217248842021286,,-0.5895714080458853,-0.5565230085162131,0
2008-12-31,2008,BAC,10-K,1.7050151127176552,-0.30939465859620685,-0.3099916756086512,1.9712155526404125,-0.050232841995759794,0.7543928733083018,1.5656025009411345,1
2008-12-31,2008,BAC,10-Q,1.7050151127176552,,,1.9712155526404125,,0.7543928733083018,1.5656025009411345,1
2008-12-31,2008,BAC,8-K,,,,,,,1.5656025009411345,1
2008-12-31,2008,C,10-K,1.8454848317070658,-1.2941591359353501,-1.3242306601267937,2.1305929344304486,-3.1345288055984835,0.9832992680158986,1.1345328266895107,1
2008-12-31,2008,C,10-Q,1.8454848317070658,,,2.1305929344304486,,0.9832992680158986,1.1345328266895107,1
2008-12-31,2008,EBAY,10-K,-0.39555718082716335,-0.17692228968348578,-0.17519816388987053,-0.4121003307714576,-0.26711513868210723,-0.4687903856274892,-0.45415451187822203,0
2008-12-31,2008,EBAY,10-Q,-0.39555718082716335,,,-0.4121003307714576,,-0.4687903856274892,-0.45415451187822203,0
2008-12-31,2008,GE,10-K,0.5160404008248607,-0.12106044737089258,-0.11602052459869855,0.6222011318859914,1.2540627059091911,3.827719909197784,0.684685542269905,0
2008-12-31,2008,GE,10-Q,0.5160404008248607,,,0.6222011318859914,,1.6250952567054453,0.684685542269905,0
2008-12-31,2008,GE,10-Q/A,0.5160404008248607,,,0.6222011318859914,,1.6250952567054453,0.684685542269905,0
2008-12-31,2008,GE,8-K,0.5160404008248607,-0.12106044737089258,-0.11602052459869855,0.6222011318859914,1.2540627059091911,1.6250952567054453,0.684685542269905,0
2008-12-31,2008,GRPN,10-K,,,,,,,,0
2008-12-31,2008,JPM,10-K,2.1212123206344655,-0.1801143949584911,-0.17684198720351418,2.443434204342172,0.10518873612722233,0.397278707364256,1.4418625526663191,1
2008-12-31,2008,JPM,10-Q,2.1212123206344655,,,2.443434204342172,,0.397278707364256,1.4418625526663191,1
2008-12-31,2008,JPM,8-K,,-0.1801143949584911,-0.17684198720351418,,0.10518873612722233,,,1
2008-12-31,2008,L,10-K,-0.33229870977005094,,,-0.3403270719819004,0.0005687007595292917,-0.33530107434367595,-0.42921738313237706,0
2008-12-31,2008,L,10-Q,-0.33229870977005094,,,-0.3403270719819004,,-0.33530107434367595,-0.42921738313237706,0
2008-12-31,2008,L,10-Q/A,-0.33229870977005094,,,-0.3403270719819004,,-0.33530107434367595,-0.42921738313237706,0
2008-12-31,2008,LVS,10-K,,,,,,,,0
