end_date,year,ticker,form,cluster_6,cluster_10,cluster_15,cluster_14,cluster_4,cluster_2,cluster_17,cluster_8,cluster_12,cluster_3,cluster_9,cluster_5,cluster_1,cluster_13,cluster_0,cluster_11,cluster_7,cluster_16,anomaly
2008-01-01,2008,CAKE,10-K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4757378970260867,0.0,0.0,0.0,-0.2981118597592271,0.0,0.0,0.0,0.0,0
2008-01-31,2008,MDLZ,10-K,0.0,-0.03823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008-02-02,2008,TGT,10-K,1.3731436697820214,6.981316601588471,0.0,1.1810525103525389,0.0,4.596253951864118,6.473705029319708,0.0,0.5116629102127199,2.3306042737322756,0.5938541524587402,-0.34139886841835254,0.0,-1.0400000515840025e-08,-0.08841584117347612,17.91255599873069,0.0,2.593811820203734,1
2008-02-02,2008,TGT,10-K/A,1.3731436697820214,6.981316601588471,0.0,1.1810525103525389,0.0,4.596253951864118,6.473705029319708,0.0,0.5116629102127199,2.3306042737322756,0.5938541524587402,-0.34139886841835254,0.0,-1.0400000515840025e-08,-0.08841584117347612,17.91255599873069,0.0,2.593811820203734,1
2008-02-02,2008,TGT,10-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16044633291491406,0.0,0.0,0.0,0.0,-0.08841584117347612,0.0,0.0,0.0,1
2008-02-03,2008,HD,10-K,-0.13414813667225728,240000014.44483414,0.0,0.060910956686989426,0.0,1.6059791150813125,14.150489961589997,0.0,1.3942838410934968,7.381659658123812,0.0,0.0,0.0,-0.24608029353272548,0.0,-1.3678755767840367,0.9149761655873022,44.0897651688042,0
2008-02-03,2008,HD,10-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24608029353272548,0.0,0.0,0.0,0.0,0
2008-02-29,2008,MDLZ,10-K,0.0,0.9082971826723808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008-03-30,2008,PZZA,10-Q,-0.003432855176891413,-2.3831918604558275,0.0,-0.13623490212411496,0.0,-0.4291247319074628,-3.0412510014945044,0.0,-0.2569666479932032,-1.7452847560367755,0.0,0.0,0.0,-0.30151205994599717,0.0,-0.5678772817716786,0.008261904761904762,-1.9014812423100507,0
2008-03-30,2008,QCOM,10-K,0.0,0.0,0.0,-0.1418938003578112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4382022471910112,0.0,0.0,0.0,0.0,0
2008-03-31,2008,AMZN,10-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112091676821866,0.0,0.0,0.0,0.0,0
2008-03-31,2008,C,10-K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7028571428571428,0.0,0.0,0.0,-0.23595505617977527,0.0,0.0,0.0,0.0,1
2008-03-31,2008,NFLX,10-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28126805131280846,0.0,0.0,0.0,0.0,0
