end_date,year,ticker,form,cluster_6,cluster_10,cluster_15,cluster_14,cluster_4,cluster_2,cluster_17,cluster_8,cluster_12,cluster_3,cluster_9,cluster_5,cluster_1,cluster_13,cluster_0,cluster_11,cluster_7,cluster_16,anomaly
2008-01-01,2008,CAKE,10-K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.655198088490101,0.0,0.0,0.0,-0.31660577216404107,0.0,0.0,0.0,0.0,0
2008-01-31,2008,MDLZ,10-K,0.0,-0.7701634093035602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008-02-02,2008,TGT,10-K,0.08274957246141554,0.1119716201935268,0.0,-0.48859310656959404,0.0,2.155003583128572,1.0629989101185209,0.0,0.10933627451314519,-0.6196827917046686,0.23120456921809776,-0.6049235443637399,0.0,-0.416609914992207,-0.695739181702505,1.4980607667699963,0.0,-1.8315940783906828,1
2008-02-02,2008,TGT,10-K/A,0.08274957246141554,0.1119716201935268,0.0,-0.48859310656959404,0.0,2.155003583128572,1.0629989101185209,0.0,0.10933627451314519,-0.6196827917046686,0.23120456921809776,-0.6049235443637399,0.0,-0.416609914992207,-0.695739181702505,1.4980607667699963,0.0,-1.8315940783906828,1
2008-02-02,2008,TGT,10-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.463976228002681,0.0,0.0,0.0,0.0,-0.695739181702505,0.0,0.0,0.0,1
2008-02-03,2008,HD,10-K,-0.09362543947460189,6.734829936959786,0.0,0.24716238574445537,0.0,-0.37232803309502316,2.9345886941964547,0.0,0.2814326139400709,0.577656458304132,0.0,0.0,0.0,-0.30641662294169547,0.0,-1.211020415540657,1.062652694019728,2.7200262628029996,0
2008-02-03,2008,HD,10-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30641662294169547,0.0,0.0,0.0,0.0,0
2008-02-29,2008,MDLZ,10-K,0.0,0.005348119197025011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008-03-30,2008,PZZA,10-Q,-0.07832985488026982,-3.5223489509585413,0.0,-0.23212229728087944,0.0,-0.796933819227997,-5.111615800024566,0.0,-0.3888389851619284,-2.6450426133880445,0.0,0.0,0.0,-0.3172716207940445,0.0,-0.821942112208206,0.07321759444256824,-3.1882964377451737,0
2008-03-30,2008,QCOM,10-K,0.0,0.0,0.0,-0.5252388963755369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10521007093909655,0.0,0.0,0.0,0.0,0
2008-03-31,2008,AMZN,10-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801781275671846,0.0,0.0,0.0,0.0,0
2008-03-31,2008,C,10-K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.74492874683927,0.0,0.0,0.0,-0.08564649790713859,0.0,0.0,0.0,0.0,1
2008-03-31,2008,NFLX,10-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31330731143760326,0.0,0.0,0.0,0.0,0
2008-04-08,2008,JPM,10-K,-1.1750024431874346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2008-04-08,2008,JPM,8-K,-1.1750024431874346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2008-04-09,2008,ORCL,10-K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3243911969930417,0.0,0.0,0.0,0.0,0
2008-04-30,2008,ORCL,10-K,1.5299526815484217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008-04-30,2008,SJM,10-K,0.0,0.0,0.0,-0.5671366419414722,0.0,0.0,0.0,0.0,0.0,0.7863905815624046,-0.45457373018533254,0.0,0.0,-0.313243600076808,0.0,0.0,0.0,0.0,0
2008-04-30,2008,SJM,8-K,0.0,0.0,0.0,-0.5671366419414722,0.0,0.0,0.0,0.0,0.0,0.7863905815624046,-0.45457373018533254,0.0,0.0,-0.313243600076808,0.0,0.0,0.0,0.0,0
