cik_str,Scandal Year,Ticker,Company Name,Anomaly Ticker,earliest XBRL,XBRL available during anomaly,10-Q/ 10-K available,Decision,Detail - needs to be updated
70858,2008,BACRP,BANK OF AMERICA CORP /DE/,BAC,2006,Yes,Yes,Yes,Bank of America (Mortgage fraud)
72971,2012,WFC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2013,WFC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2014,WFC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2015,WFC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PY,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PR,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PL,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PC,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PD,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PZ,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFCNP,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
72971,2016,WFC-PA,WELLS FARGO & COMPANY/MN,WFC,2006,Yes,Yes,Yes,Consumer Fraud
77476,2016,PEP,PEPSICO INC,PEP,2006,Yes,Yes,Yes,PepsiCo (Bribery scandal)
91419,2017,SJM,J M SMUCKER Co,SJM,2008,Yes,Yes,Yes,J.M. Smucker Company (Misleading labeling)
96223,2005,JEF,Jefferies Financial Group Inc.,LUK,2006,No,Yes,No,"Leucadia National (involved in Refco scandal, now part of Jefferies Financial Group, ticker 'JEF')"
100493,2019,TSN,"TYSON FOODS, INC.",TSN,2007,Yes,Yes,Yes,Tyson Foods (Labor practices investigation)
310522,2003,FNMA,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAS,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAH,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMFN,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAJ,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAM,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAN,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAI,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAT,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAK,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAL,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMFM,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAO,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAG,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMFO,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2003,FNMAP,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMA,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAS,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAH,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMFN,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAJ,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAM,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAN,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAI,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAT,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAK,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAL,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMFM,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAO,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAG,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMFO,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
310522,2004,FNMAP,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FNM,2006,No,Yes,No,Accounting Fraud (Financial Misrepresentaion)
312070,2012,ATMP,BARCLAYS BANK PLC,BARC,2015,No,No,No,Involved in the Libor rate-manipulation scandal
312070,2021,ATMP,BARCLAYS BANK PLC,BARC,2015,Yes,No,No,Securities Over-Issuances
312070,2022,ATMP,BARCLAYS BANK PLC,BARC,2015,Yes,No,No,Securities Over-Issuances
312070,2012,AYTEF,BARCLAYS BANK PLC,BARC,2015,No,No,No,Involved in the Libor rate-manipulation scandal
